encoding  utf-8
TRIP
DATE 2005-07-09 
DECLINATION     0.00
DATA
TRIP
DATE 2006-10-09 
DECLINATION     0.00
DATA
1.105		250.99	12.22	13.731	>
1.105	1.106	181.01	-3.51	17.042	>
1.106		261.63	73.73	1.201	>
1.106		277.83	1.44	2.064	>
1.106		52.96	-2.62	4.150	>
1.106		135.95	1.62	2.684	>
1.106	1.107	134.62	2.51	18.307	>
1.107		245.28	34.48	2.005	>
1.107		311.70	-3.38	12.947	>
1.107		351.32	-3.35	6.320	>
1.107		229.77	-27.53	2.970	>
1.107	1.108	221.32	6.91	8.336	>
1.108		334.02	3.60	2.678	>
1.108		68.11	70.02	0.707	>
1.108		120.94	-27.21	4.234	>
1.108		359.84	-52.48	1.157	>
1.108		231.33	51.50	11.492	>
1.108	1.109	171.55	-18.64	6.137	>
1.109		72.08	67.31	0.918	>
1.109		84.11	10.66	4.188	>
1.109		248.93	19.19	3.167	>
1.109	1.110	179.63	-0.02	11.088	>
1.110		119.50	1.31	0.524	>
1.110		308.61	36.19	2.259	>
1.110		258.63	5.89	4.533	>
1.110		253.69	-34.26	1.064	>
1.110	1.111	200.27	3.46	8.771	>
1.111		287.54	29.09	1.374	>
1.111		127.40	57.56	2.910	>
1.111		101.76	-0.15	2.624	>
1.111		35.05	-60.17	1.152	>
1.111	1.112	166.11	0.26	8.139	>
1.112		288.14	3.47	2.921	>
1.112		283.63	41.57	1.701	>
1.112		203.57	-85.88	0.836	>
1.112	1.113	238.27	0.01	16.998	>
1.113		134.32	7.09	2.683	>
1.113		314.16	33.75	1.978	>
1.113		211.79	15.43	10.371	>
1.113		190.74	10.59	10.420	>
1.113		231.16	29.56	7.384	>
1.113		271.86	41.60	3.167	>
1.113	1.114	156.20	2.62	9.969	>
1.114		265.72	49.73	5.594	>
1.114		256.52	-39.56	2.209	>
1.114		277.22	-2.67	2.701	>
1.114	1.115	231.11	-1.96	16.967	>
1.115		151.35	81.14	0.718	>
1.115		141.78	6.31	3.975	>
1.115		297.91	6.47	3.115	>
1.115		283.29	-43.82	1.109	>
